"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: null"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,,,
"","All ages",,,,,,,,,,,,
"Geography","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","Persons",,,,,,,,,,,,
"Edmonton (CMA), Alberta","1,074,031","1,104,317","1,131,781","1,163,333","1,183,929","1,205,371","1,234,370","1,271,897","1,312,494","1,338,517","1,364,285","1,391,154","1,420,916"
"Cold Lake (CA), Alberta","12,515","12,936","13,387","13,777","14,146","14,493","14,789","15,108","15,401","15,344","15,492","15,080","14,962"
"Grande Prairie (CA), Alberta","50,038","52,372","54,019","55,499","56,583","58,272","60,542","62,344","64,239","65,507","65,046","65,410","66,678"
"Wood Buffalo (CA), Alberta","55,034","58,974","61,635","64,403","67,280","70,638","74,197","78,154","80,300","78,871","75,332","73,725","73,797"
"Wetaskiwin (CA), Alberta","12,056","12,252","12,422","12,598","12,722","12,896","13,085","13,171","13,156","12,870","12,997","13,137","13,284"
"Cranbrook (CA), British Columbia","24,762","25,080","25,369","25,522","25,502","25,460","25,694","25,978","26,318","26,767","27,072","27,312","27,582"
"Nelson (CA), British Columbia","17,187","17,473","17,773","17,992","18,175","18,310","18,337","18,501","18,610","18,878","19,122","19,194","19,371"
"Penticton (CA), British Columbia","42,251","42,607","42,967","42,913","42,855","42,927","43,218","43,548","43,914","44,351","45,016","45,522","46,128"
"Kelowna (CMA), British Columbia","167,123","170,995","175,162","178,330","181,435","183,622","186,126","189,123","193,243","198,315","203,993","208,254","212,311"
"Vernon (CA), British Columbia","56,837","57,637","58,582","59,157","59,430","59,476","60,123","60,494","61,486","62,425","63,615","64,494","65,294"
"Salmon Arm (CA), British Columbia","16,623","17,061","17,417","17,628","17,843","17,911","17,816","17,833","17,910","18,264","18,530","18,901","19,307"
"Kamloops (CA), British Columbia","95,606","97,468","99,272","100,129","100,586","100,828","102,072","103,414","104,709","106,082","108,216","110,477","112,361"
